accel,brake,gear,steer,clutch,focus,meta
0.0,0.0,1,0.0,0.0,0,0
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.21269262081135934,,-1.0,
0.1,,0,-0.2129848968293782,,53.7601,
0.1,,0,-0.2130226101925393,,-1.0,
0.1,,0,-0.21315792375330722,,-1.0,
0.1,,0,-0.21311037333937696,,-1.0,
0.1,,0,-0.21320055309537328,,-1.0,
0.1,,0,-0.21312732652744212,,-1.0,
0.1,,0,-0.21320032900516678,,-1.0,
0.1,,0,-0.2131172704794257,,-1.0,
0.1,,0,-0.2131822337209924,,-1.0,
0.1,,0,-0.21309237864114755,,-1.0,
0.1,,0,-0.21315363930134784,,-1.0,
